Tag/Nacht	Temperature(°C)  	 Moisture(%)
1	9	599.154.433.830.785
1	10	59.932.110.558.387
1	10	600.571.143.732.007
1	9	600.237.800.225.837
1	10	601.487.838.373.974
1	9	602.112.857.448.042
1	10	602.279.529.201.127
1	10	601.571.174.250.516
1	10	598.571.082.694.988
1	10	599.946.124.657.938
1	10	599.612.781.151.769
1	10	601.112.826.929.533
1	10	600.821.151.361.634
1	10	602.446.200.954.212
1	9	600.237.800.225.837
1	9	598.279.407.127.089
1	10	600.196.132.287.566
1	9	600.237.800.225.837
1	9	599.737.784.966.582
1	9	598.279.407.127.089
1	10	600.612.811.670.278
1	10	598.362.743.003.632
1	10	597.696.055.991.292
1	10	599.071.097.954.243
1	9	598.571.082.694.988
1	10	595.904.334.645.629
1	10	595.654.327.016.002
1	10	596.821.029.287.596
1	10	594.779.300.312.306
1	9	597.862.727.744.377
1	9	597.154.372.793.766
1	10	594.154.281.238.238
1	9	596.362.681.966.613
1	9	595.862.666.707.358
1	9	594.612.628.559.221
1	9	592.612.567.522.202
1	9	593.945.941.546.881
1	9	591.362.529.374.065
1	9	593.320.922.472.813
1	9	594.529.292.682.679
1	10	594.445.956.806.136
1	9	590.529.170.608.641
1	9	589.862.483.596.301
1	9	590.112.491.225.929
1	9	591.112.521.744.438
1	9	591.570.869.065.422
1	9	588.570.777.509.893
1	9	588.737.449.262.978
1	9	590.695.842.361.726
1	9	590.279.162.979.013
1	9	587.695.750.806.197
1	9	589.695.811.843.216
1	9	587.904.090.497.553
1	9	590.362.498.855.556
1	9	590.570.838.546.912
1	9	590.987.517.929.624
1	9	589.320.800.398.775
1	9	589.195.796.583.962
1	9	589.195.796.583.962
1	9	589.195.796.583.962
1	9	590.029.155.349.386
1	9	590.237.495.040.742
1	9	589.570.808.028.403
1	9	589.570.808.028.403
1	9	589.404.136.275.318
1	9	590.112.491.225.929
1	9	587.529.079.053.112
1	9	587.987.426.374.096
1	9	588.862.453.077.792
1	9	590.529.170.608.641
1	9	590.529.170.608.641
1	9	590.695.842.361.726
1	9	590.404.166.793.827
1	9	588.362.437.818.537
1	9	588.362.437.818.537
1	9	586.945.727.917.315
1	9	590.445.834.732.098
1	9	5.901.541.591.642
1	9	58.982.081.565.803
1	8	58.777.908.668.274
1	9	589.612.475.966.674
1	9	589.445.804.213.589
1	9	589.654.143.904.945
0	9	591.487.533.188.879
0	8	590.987.517.929.624
0	9	589.195.796.583.962
0	8	591.237.525.559.252
0	8	590.737.510.299.997
0	8	588.987.456.892.605
0	8	588.862.453.077.792
0	8	590.862.514.114.811
0	8	589.737.479.781.487
0	9	591.362.529.374.065
0	9	591.362.529.374.065
0	9	588.195.766.065.452
0	8	58.882.078.513.952
0	8	591.779.208.756.778
0	8	591.445.865.250.608
0	8	587.612.414.929.655
0	8	591.612.537.003.693
0	8	588.195.766.065.452
0	8	591.904.212.571.591
0	8	589.320.800.398.775
0	8	591.654.204.941.964
0	8	590.654.174.423.455
0	8	590.737.510.299.997
0	9	588.529.109.571.622
0	8	591.820.876.695.049
0	8	591.029.185.867.896
0	8	589.362.468.337.046
0	9	590.237.495.040.742
0	9	591.112.521.744.438
0	9	588.779.117.201.249
0	9	590.320.830.917.285
0	8	589.612.475.966.674
0	9	590.987.517.929.624
0	8	588.987.456.892.605
0	9	588.154.098.127.181
0	9	588.862.453.077.792
0	9	58.915.412.864.569
0	9	590.237.495.040.742
0	8	59.119.585.762.098
0	9	588.695.781.324.707
0	9	589.654.143.904.945
0	8	590.404.166.793.827
0	9	590.737.510.299.997
0	8	590.529.170.608.641
0	8	588.695.781.324.707
0	9	589.112.460.707.419
0	8	592.029.216.386.405
0	8	591.737.540.818.507
0	9	592.820.907.213.558
0	9	588.904.121.016.063
0	9	590.529.170.608.641
0	8	58.982.081.565.803
0	9	592.904.243.090.101
0	9	592.112.552.262.948
0	9	590.820.846.176.539
0	9	588.445.773.695.079
